symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2020-06-17,194.24,196.32,193.69,195.03,25687822,192.370766953,194.4307504541,191.8260597772,193.1531645328,25687822,0.0,1.0
MSFT,2020-06-18,196.32,196.49,194.0,194.0,23061648,194.4307504541,194.5991144903,192.133076549,192.133076549,23061648,0.0,1.0
MSFT,2020-06-19,195.15,199.29,194.37,198.59,44441141,193.2720097347,197.3721692034,192.4995159218,196.6789055251,44441141,0.0,1.0
MSFT,2020-06-22,200.57,200.76,195.23,195.79,32818929,198.6398513579,198.8280229277,193.3512398694,193.905850812,32818929,0.0,1.0
MSFT,2020-06-23,201.91,203.95,201.43,202.09,30917447,199.9669561135,201.9873245473,199.4915753055,200.1452239164,30917447,0.0,1.0
MSFT,2020-06-24,197.84,203.25,196.56,201.6,36740647,195.9361230127,201.294060869,194.6684408581,199.6599393417,36740647,0.0,1.0
MSFT,2020-06-25,200.34,200.61,195.47,197.8,27803933,198.4120647208,198.6794664252,193.5889302734,195.8965079453,27803933,0.0,1.0
MSFT,2020-06-26,196.33,199.89,194.88,199.73,54675780,194.440654221,197.9663952133,193.0046080303,197.807934944,54675780,0.0,1.0
MSFT,2020-06-29,198.44,198.53,193.55,195.78,26701586,196.5303490226,196.6194829241,191.6874070416,193.8959470452,26701586,0.0,1.0
MSFT,2020-06-30,203.51,204.4,197.74,197.88,34310283,201.5515588066,202.4329940547,195.8370853443,195.97573808,34310283,0.0,1.0
MSFT,2020-07-01,204.7,206.35,201.77,203.14,32071431,202.7301070597,204.3642285871,199.8283033778,201.1851194338,32071431,0.0,1.0
MSFT,2020-07-02,206.26,208.02,205.0,205.68,29322547,204.2750946856,206.0181576481,203.0272200647,203.7006762093,29322547,0.0,1.0
MSFT,2020-07-06,210.7,211.13,208.09,208.83,32033747,208.6723671592,209.098229133,206.0874840159,206.8203627615,32033747,0.0,1.0
MSFT,2020-07-07,208.25,214.67,207.99,210.45,33600749,206.2459442852,212.6041625916,205.9884463476,208.4247729883,33600749,0.0,1.0
MSFT,2020-07-08,212.83,213.26,208.69,210.07,33602226,210.7818694945,211.2077314683,206.6817100258,208.0484298487,33602226,0.0,1.0
MSFT,2020-07-09,214.32,216.38,211.47,216.33,33122280,212.2575307525,214.29770672,209.4349572053,214.2481878858,33122280,0.0,1.0
MSFT,2020-07-10,213.67,214.08,211.08,213.62,26178663,211.6137859084,212.0198403485,209.0487102988,211.5642670742,26178663,0.0,1.0
MSFT,2020-07-13,207.07,215.8,206.5,214.48,38135816,205.077299799,213.7232882437,204.5127850895,212.4159910218,38135816,0.0,1.0
MSFT,2020-07-14,208.35,208.85,202.03,206.13,37598121,206.3449819535,206.8401702952,200.0858013154,204.1463457167,37598121,0.0,1.0
MSFT,2020-07-15,208.04,211.33,205.03,209.56,32248893,206.0379651817,209.2963044696,203.0569313652,207.5433377403,32248893,0.0,1.0
MSFT,2020-07-16,203.92,205.7,202.31,205.4,29940718,201.9576132468,203.7204837429,200.3631067868,203.423370738,29940718,0.0,1.0
MSFT,2020-07-17,202.88,205.04,201.39,204.47,31636070,200.9276214962,203.066835132,199.4519602382,202.5023204226,31636070,0.0,1.0
MSFT,2020-07-20,211.6,212.3,203.01,205.0,36386080,209.5637061741,210.2569698523,201.056370465,203.0272200647,36386080,0.0,1.0
MSFT,2020-07-21,208.75,213.94,208.03,213.66,37702523,206.7411326268,211.8811876129,206.0280614149,211.6038821416,37702523,0.0,1.0
MSFT,2020-07-22,211.75,212.3,208.39,209.2,49605692,209.7122626766,210.2569698523,206.3845970209,207.1868021343,49605692,0.0,1.0
MSFT,2020-07-23,202.54,210.92,202.15,207.19,67457035,200.5908934239,208.8902500295,200.2046465174,205.196145001,67457035,0.0,1.0
MSFT,2020-07-24,201.3,202.86,197.51,200.42,39826989,199.3628263367,200.9078139625,195.6092987072,198.4912948554,39826989,0.0,1.0
MSFT,2020-07-27,203.85,203.97,200.86,201.47,30160867,201.8882868789,202.0071320809,198.9270605961,199.5311903728,30160867,0.0,1.0
MSFT,2020-07-28,202.02,204.7,201.74,203.61,23251388,200.0758975486,202.7301070597,199.7985920773,201.650596475,23251388,0.0,1.0
MSFT,2020-07-29,204.06,204.65,202.01,202.5,19632602,202.0962659824,202.6805882255,200.0659937818,200.5512783566,19632602,0.0,1.0
MSFT,2020-07-30,203.9,204.46,199.57,201.0,25079596,201.9378057131,202.4924166557,197.6494746747,199.0657133317,25079596,0.0,1.0
MSFT,2020-07-31,205.01,205.1,199.01,204.4,51247969,203.0371238315,203.126257733,197.0948637321,202.4329940547,51247969,0.0,1.0
MSFT,2020-08-03,216.54,217.64,210.44,211.52,78983009,214.4561669893,215.5455813409,208.4148692215,209.4844760394,78983009,0.0,1.0
MSFT,2020-08-04,213.29,214.77,210.31,214.17,49280056,211.2374427688,212.70320026,208.2861202527,212.10897425,49280056,0.0,1.0
MSFT,2020-08-05,212.94,215.0,211.57,214.9,28858621,210.8908109296,212.9309868971,209.5339948736,212.8319492288,28858621,0.0,1.0
MSFT,2020-08-06,216.35,216.3705,211.55,212.34,32656843,214.2679954195,214.2882981415,209.5141873399,210.2965849197,32656843,0.0,1.0
MSFT,2020-08-07,212.48,215.7,210.93,214.85,27820421,210.4352376553,213.6242505754,208.9001537963,212.7824303946,27820421,0.0,1.0
MSFT,2020-08-10,208.25,211.88,206.35,211.67,36716462,206.2459442852,209.8410116454,204.3642285871,209.6330325419,36716462,0.0,1.0
MSFT,2020-08-11,203.38,207.65,203.14,207.155,36446459,201.4228098378,205.6517182753,201.1851194338,205.1614818171,36446459,0.0,1.0
MSFT,2020-08-12,209.19,210.28,204.75,205.29,28041364,207.1768983675,208.2564089522,202.7796258939,203.3144293028,28041364,0.0,1.0
MSFT,2020-08-13,208.7,211.35,208.15,209.44,22588870,206.6916137927,209.3161120033,206.1469066169,207.4244925383,22588870,0.0,1.0
MSFT,2020-08-14,208.9,209.59,207.51,208.76,17958936,206.8896891293,207.5730490408,205.5130655396,206.7510363937,17958936,0.0,1.0
MSFT,2020-08-17,210.28,211.1874,208.915,209.6,20063496,208.2564089522,209.1550767546,206.9045447796,207.5829528076,20063496,0.0,1.0
MSFT,2020-08-18,211.49,212.36,209.21,210.53,21336167,209.4547647389,210.3163924533,207.1967059011,208.504003123,21336167,0.0,1.0
MSFT,2020-08-19,209.7,212.1,209.25,211.49,27627561,208.1870825844,210.5697673636,207.7403291883,209.9641683155,27627561,0.51,1.0
MSFT,2020-08-20,214.58,215.0,208.91,209.54,26981478,213.0318749688,213.4488448051,207.4027821779,208.0282369324,26981478,0.0,1.0
MSFT,2020-08-21,213.02,216.25,212.85,213.86,36249319,211.4831298623,214.689826461,211.3143563571,212.317069535,36249319,0.0,1.0
MSFT,2020-08-24,213.69,215.52,212.43,214.79,25460147,212.1482960298,213.965093174,210.8973865207,213.240359887,25460147,0.0,1.0
MSFT,2020-08-25,216.47,216.61,213.1,213.1,23043696,214.9082392324,215.0472291779,211.5625526883,211.5625526883,23043696,0.0,1.0
MSFT,2020-08-26,221.15,222.09,217.36,217.88,39600828,219.5544745519,220.4876927571,215.7918181714,216.3080665402,39600828,0.0,1.0
MSFT,2020-08-27,226.58,231.15,219.4,222.89,57602195,224.9452988649,229.4823277987,217.8171002337,221.2819210168,57602195,0.0,1.0
MSFT,2020-08-28,228.91,230.644,226.58,228.18,26292896,227.2584886714,228.9799784244,224.9452988649,226.5337553844,26292896,0.0,1.0
MSFT,2020-08-31,225.53,228.7,224.31,227.0,28774156,223.902874274,227.0500037532,222.6916761779,225.3622687012,28774156,0.0,1.0
MSFT,2020-09-01,227.27,227.45,224.43,225.51,25791235,225.6303207389,225.8090220974,222.8108104168,223.8830185675,25791235,0.0,1.0
MSFT,2020-09-02,231.65,232.86,227.35,227.97,34080839,229.978720461,231.1799907038,225.7097435649,226.3252704662,34080839,0.0,1.0
MSFT,2020-09-03,217.3,229.31,214.9602,229.27,58400288,215.7322510519,227.6556028012,213.4093319492,227.6158913883,58400288,0.0,1.0
MSFT,2020-09-04,214.25,218.3599,205.19,215.1,59664072,212.7042558116,216.7845042175,203.7096207701,213.5481233376,59664072,0.0,1.0
MSFT,2020-09-08,202.66,210.03,202.2,206.5,52924330,201.1978738987,208.5147017415,200.7411926493,205.0101695454,52924330,0.0,1.0
MSFT,2020-09-09,211.29,214.8399,206.7,207.6,45678986,209.7656112506,213.2898998747,205.2087266103,206.1022334026,45678986,0.0,1.0
